"filename", "language", "JSON", "XML", "C#", "UnityShader", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Scripts\CollectTilemapSourcesCache2d.cs", "C#", 0, 0, 86, 0, 0, 10, 96
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Scripts\NavMeshAgentAttribute.cs", "C#", 0, 0, 8, 0, 3, 2, 13
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Scripts\NavMeshAreaAttribute.cs", "C#", 0, 0, 8, 0, 4, 2, 14
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Scripts\NavMeshBuilder2d.cs", "C#", 0, 0, 355, 0, 6, 38, 399
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Scripts\NavMeshBuilderState.cs", "C#", 0, 0, 86, 0, 10, 13, 109
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Scripts\NavMeshComponents.asmdef", "JSON", 20, 0, 0, 0, 0, 0, 20
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Scripts\NavMeshExtension.cs", "C#", 0, 0, 56, 0, 0, 3, 59
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Scripts\NavMeshExtensionsProvider.cs", "C#", 0, 0, 51, 0, 0, 7, 58
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Scripts\NavMeshLink.cs", "C#", 0, 0, 145, 0, 0, 31, 176
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Scripts\NavMeshModifier.cs", "C#", 0, 0, 45, 0, 2, 10, 57
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Scripts\NavMeshModifierTilemap.cs", "C#", 0, 0, 67, 0, 5, 12, 84
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Scripts\NavMeshModifierVolume.cs", "C#", 0, 0, 45, 0, 2, 10, 57
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Scripts\NavMeshSurface.cs", "C#", 0, 0, 457, 0, 24, 71, 552
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Scripts\RootSources2d.cs", "C#", 0, 0, 28, 0, 0, 5, 33
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Scripts\RotateAgentInstantly.cs", "C#", 0, 0, 33, 0, 3, 4, 40
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Scripts\RotateAgentSmoothly.cs", "C#", 0, 0, 49, 0, 3, 5, 57
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\TextMesh Pro\Shaders\SDFFunctions.hlsl", "UnityShader", 0, 0, 0, 130, 18, 31, 179
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader", "UnityShader", 0, 0, 0, 113, 2, 31, 146
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader", "UnityShader", 0, 0, 0, 123, 3, 30, 156
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader", "UnityShader", 0, 0, 0, 113, 2, 31, 146
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader", "UnityShader", 0, 0, 0, 253, 4, 70, 327
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader", "UnityShader", 0, 0, 0, 253, 4, 65, 322
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader", "UnityShader", 0, 0, 0, 198, 10, 51, 259
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader", "UnityShader", 0, 0, 0, 193, 8, 52, 253
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader", "UnityShader", 0, 0, 0, 82, 4, 21, 107
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile-2-Pass.shader", "UnityShader", 0, 0, 0, 290, 15, 85, 390
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader", "UnityShader", 0, 0, 0, 192, 8, 51, 251
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader", "UnityShader", 0, 0, 0, 104, 8, 28, 140
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader", "UnityShader", 0, 0, 0, 123, 4, 33, 160
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\TextMesh Pro\Shaders\TMP_SDF.shader", "UnityShader", 0, 0, 0, 253, 4, 70, 327
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader", "UnityShader", 0, 0, 0, 111, 0, 21, 132
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\TextMesh Pro\Shaders\TMPro.cginc", "UnityShader", 0, 0, 0, 63, 2, 20, 85
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc", "UnityShader", 0, 0, 0, 129, 2, 35, 166
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc", "UnityShader", 0, 0, 0, 62, 6, 13, 81
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc", "UnityShader", 0, 0, 0, 75, 7, 18, 100
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\DevilsTownProt.slnx", "XML", 0, 5, 0, 0, 0, 1, 6
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\NavMeshPlus.csproj", "XML", 0, 1198, 0, 0, 1, 1, 1200
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\NavMeshPlusEditor.csproj", "XML", 0, 1224, 0, 0, 1, 1, 1226
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Packages\manifest.json", "JSON", 56, 0, 0, 0, 0, 1, 57
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Packages\packages-lock.json", "JSON", 560, 0, 0, 0, 0, 1, 561
"Total", "-", 652, 3912, 5548, 2860, 246, 1975, 15193
